country,year,disease_name,disease_category,prevalence_rate_pct,incidence_rate_pct,mortality_rate_pct,age_group,gender,population_affected,healthcare_access_pct,doctors_per_1000,hospital_beds_per_1000,treatment_type,average_treatment_cost_usd,availability_of_vaccines/treatment,recovery_rate_pct,dalys,improvement_in_5_years_pct,per_capita_income_usd,education_index,urbanization_rate_pct,outlier_mortality,disease_burden_score,mortality_prevalence_ratio,risk_level,health_infra_index
Italy,2013,Hepatitis,Neurological,4.17,11.06,8.22,61+,Female,123132,90.39,1.56,9.52,Therapy,2484,No,76.76,1297,8.37,79350,0.88,22.31,False,44457.7878,1.9707504195636538,Medium,5.54
India,2002,Tuberculosis,Autoimmune,16.38,2.02,8.86,19-35,Other,444295,62.09,2.45,0.69,Medication,26183,Yes,77.42,197,0.67,69258,0.51,74.96,False,28589.979599999995,0.5408705207252305,High,1.57
USA,2017,HIV/AIDS,Chronic,18.56,4.65,5.19,36-60,Female,500187,70.22,1.47,2.98,Surgery,28089,No,74.8,3262,1.35,8557,0.86,73.31,False,314216.7168,0.2796185550347503,High,2.225
Indonesia,2024,Measles,Metabolic,0.81,8.49,6.49,36-60,Other,979877,85.95,0.61,3.2,Therapy,33596,No,88.32,4735,4.33,56415,0.74,67.79,False,24891.421500000004,8.002466091245376,Medium,1.905
Japan,2008,Hepatitis,Autoimmune,14.45,8.09,3.47,36-60,Female,390814,53.97,1.19,4.76,Vaccination,45066,Yes,98.8,762,3.34,55233,0.68,60.34,False,38207.823000000004,0.24012179087952396,Medium,2.9749999999999996
UK,2023,Zika,Parasitic,8.6,3.91,2.49,19-35,Other,256733,98.16,4.46,4.78,Surgery,30619,No,73.18,2272,3.69,80482,0.43,79.99,False,48652.608,0.2895012207882805,Medium,4.62
Turkey,2012,Malaria,Neurological,18.2,14.1,8.58,61+,Male,705556,81.06,0.84,1.42,Surgery,35828,Yes,77.59,2119,4.81,59353,0.66,55.37,False,330894.564,0.47140267018295695,High,1.13
USA,2012,Influenza,Autoimmune,3.29,0.71,8.81,0-18,Male,463091,73.22,3.66,2.55,Therapy,25216,No,89.09,2584,0.9,45317,0.8,53.2,False,74896.98160000001,2.6769978729869344,Medium,3.105
Japan,2007,Rabies,Cardiovascular,11.52,12.85,7.63,19-35,Female,303652,76.21,0.53,3.01,Therapy,29646,Yes,63.27,2326,9.08,22144,0.81,20.7,False,204449.81759999998,0.6622689002690739,High,1.77
Italy,2000,Parkinson's Disease,Respiratory,2.57,8.88,8.52,36-60,Male,806492,50.15,2.43,5.39,Vaccination,36578,No,56.26,699,8.83,63195,0.72,88.48,False,15305.583599999998,3.313885647607935,Medium,3.91
Italy,2000,Hepatitis,Genetic,18.27,4.62,9.41,19-35,Female,823550,65.83,2.54,7.19,Medication,32127,Yes,96.53,4094,0.56,55343,0.78,66.09,False,703843.3458,0.5150238082206776,High,4.865
Brazil,2010,Zika,Chronic,1.59,2.17,6.37,36-60,Other,703533,52.35,1.58,7.28,Surgery,47412,No,80.33,2855,4.68,46892,0.48,89.95,False,28916.296500000004,4.003771213073539,Medium,4.43
India,2018,Diabetes,Bacterial,4.13,7.61,4.05,19-35,Male,777659,81.07,2.57,1.02,Surgery,22613,No,63.61,3668,4.54,56351,0.9,44.78,False,61352.80199999999,0.980392156862745,Medium,1.795
Turkey,2016,Diabetes,Bacterial,18.61,0.48,4.82,61+,Male,669142,89.13,4.36,9.35,Vaccination,7703,No,87.07,751,3.94,29141,0.64,58.92,False,67364.8502,0.25898662081564666,Medium,6.855
Mexico,2002,Polio,Chronic,19.08,14.15,7.83,0-18,Male,267543,92.56,4.03,8.41,Surgery,24349,No,66.26,1027,9.21,29338,0.58,62.88,False,153430.1028,0.41035585137047326,High,6.220000000000001
China,2015,Rabies,Parasitic,10.74,13.86,5.17,19-35,Other,546653,99.18,1.26,5.52,Medication,40340,Yes,70.38,2188,4.6,61528,0.66,72.43,False,121490.4504,0.48133320919839867,High,3.3899999999999997
France,2010,Measles,Parasitic,7.4,11.16,4.31,0-18,Female,287910,54.94,1.19,8.19,Therapy,17045,Yes,87.04,555,0.07,93257,0.84,55.11,False,17701.17,0.582353735981624,Medium,4.6899999999999995
Russia,2003,Alzheimer's Disease,Metabolic,17.79,5.24,7.61,19-35,Female,92981,80.99,2.15,4.92,Vaccination,30935,Yes,73.25,792,8.18,77267,0.66,83.2,False,107222.4648,0.4277443651284357,High,3.535
Saudi Arabia,2017,Hepatitis,Respiratory,9.68,14.96,7.88,19-35,Female,379489,70.63,1.0,8.42,Medication,42300,No,76.13,360,8.31,63004,0.62,45.5,False,27460.224,0.8139654994318769,Medium,4.71
China,2021,Parkinson's Disease,Neurological,2.99,1.02,3.51,36-60,Other,50036,72.25,3.0,8.43,Vaccination,42506,Yes,60.66,648,3.33,89508,0.76,56.22,False,6800.695199999999,1.173520561685055,Medium,5.715
USA,2013,Diabetes,Bacterial,9.71,13.31,5.07,0-18,Female,748596,60.78,1.94,3.68,Vaccination,25773,Yes,63.85,3116,1.93,32813,0.57,20.51,False,153399.74520000003,0.5220883534136547,Medium,2.81
Italy,2015,Hepatitis,Neurological,0.79,13.82,1.49,19-35,Other,431700,64.35,3.99,4.94,Medication,17708,Yes,83.55,4232,5.72,17713,0.44,69.27,False,4981.4872000000005,1.8836915297092287,Low,4.465
Russia,2002,Polio,Cardiovascular,1.31,1.67,4.84,19-35,Male,75686,68.2,1.98,9.38,Medication,7134,No,72.88,1871,1.0,47003,0.41,30.43,False,11862.8884,3.6918382913806256,Medium,5.680000000000001
France,2002,Cancer,Bacterial,4.72,14.55,9.72,61+,Other,482238,90.76,2.27,1.37,Medication,14737,No,81.15,4707,4.01,23437,0.41,76.18,False,215949.6288,2.0588858292734593,Medium,1.82
India,2019,Ebola,Chronic,9.21,4.62,4.77,19-35,Female,541621,55.14,0.68,4.46,Vaccination,7958,No,54.67,3486,4.77,73228,0.61,83.62,False,153145.9062,0.5178590815329497,Medium,2.57
Brazil,2023,Leprosy,Viral,2.61,9.87,9.12,36-60,Other,345652,66.39,1.76,9.75,Surgery,8967,No,58.87,980,7.99,92924,0.73,41.74,False,23327.136,3.4929145921103024,Medium,5.755
UK,2006,Ebola,Parasitic,14.38,11.89,5.38,0-18,Male,284629,57.36,1.27,2.37,Medication,46914,No,96.47,1145,7.02,79248,0.77,69.67,False,88582.238,0.37410472150754465,High,1.82
Japan,2019,Polio,Parasitic,7.0,11.39,6.29,61+,Female,318309,94.86,1.11,7.25,Medication,509,Yes,79.25,2062,0.06,5612,0.59,72.28,False,90789.86,0.8984430795600629,Medium,4.18
France,2012,Alzheimer's Disease,Autoimmune,11.92,9.19,0.25,0-18,Other,508778,51.27,4.17,6.04,Medication,22694,No,66.3,1823,5.47,33248,0.48,28.78,False,5432.54,0.020971395017196547,Low,5.105
Turkey,2019,Rabies,Bacterial,8.71,14.79,6.12,0-18,Male,646784,91.18,0.81,6.11,Therapy,32780,Yes,77.92,638,0.28,34946,0.6,39.56,False,34008.7176,0.7025599816324187,Medium,3.46
Russia,2012,Influenza,Autoimmune,4.22,12.5,4.75,0-18,Male,928247,50.49,4.77,5.41,Vaccination,17059,Yes,57.97,3066,9.69,24868,0.54,86.02,False,61457.969999999994,1.1253257521914237,Medium,5.09
Mexico,2012,Parkinson's Disease,Autoimmune,9.55,0.62,7.03,61+,Male,233038,91.33,2.04,7.34,Therapy,18387,No,58.55,4803,3.1,38790,0.54,66.61,False,322456.6095000001,0.7360485813003874,Medium,4.6899999999999995
Canada,2014,Measles,Autoimmune,12.1,6.31,5.81,0-18,Male,315839,74.76,1.86,5.02,Medication,38190,Yes,64.96,3911,6.52,60063,0.62,24.63,False,274947.21099999995,0.48012560945376415,High,3.44
Argentina,2024,Polio,Viral,16.9,3.1,4.82,61+,Other,658371,90.61,4.36,7.04,Therapy,38212,Yes,86.83,807,8.98,28101,0.49,80.8,False,65736.606,0.2851902254304479,Medium,5.7
Germany,2016,Hepatitis,Chronic,13.4,14.33,0.52,19-35,Male,830851,65.04,3.96,6.7,Medication,39272,No,51.77,2912,2.52,76064,0.87,82.02,False,20290.816000000003,0.03880307439743303,Low,5.33
Mexico,2016,Asthma,Parasitic,18.49,1.1,1.79,19-35,Other,823654,76.85,3.98,6.21,Surgery,33003,Yes,57.37,4137,8.04,81231,0.56,41.33,False,136922.7027,0.09680385052187551,Low,5.095
Canada,2013,Alzheimer's Disease,Bacterial,6.61,11.95,8.22,61+,Male,911200,62.36,0.62,2.71,Medication,10509,No,78.16,599,7.43,96782,0.77,61.52,False,32546.185800000007,1.2433822417183482,Medium,1.665
Mexico,2017,Leprosy,Chronic,17.57,8.76,3.4,0-18,Male,770438,66.55,3.92,7.96,Vaccination,1342,No,54.1,157,9.84,88392,0.58,46.17,False,9378.866,0.1935006544875078,Medium,5.9399999999999995
Brazil,2018,Zika,Viral,3.76,3.43,1.41,61+,Male,83164,87.42,3.98,7.04,Medication,17240,No,69.45,4113,7.94,46123,0.54,23.98,False,21805.480799999998,0.37490029247540546,Low,5.51
UK,2006,Dengue,Neurological,8.51,1.2,2.78,0-18,Male,457021,94.15,4.79,3.31,Therapy,10668,No,65.25,4908,9.27,70495,0.62,64.57,False,116112.4824,0.3266361179649865,Medium,4.05
Australia,2018,Parkinson's Disease,Genetic,10.93,11.97,9.85,0-18,Male,636856,89.69,2.63,8.26,Surgery,44691,Yes,65.92,3597,9.32,80613,0.48,66.08,False,387254.8185,0.9011069435550271,High,5.445
South Africa,2006,Ebola,Neurological,4.9,8.32,4.87,19-35,Female,643284,73.19,4.97,3.63,Medication,30999,No,86.89,3462,7.57,56500,0.44,43.1,False,82613.706,0.9936747602530095,Medium,4.3
Japan,2014,HIV/AIDS,Viral,6.51,3.98,0.6,61+,Other,247377,72.15,1.26,4.45,Vaccination,16570,No,82.23,2531,1.86,55471,0.44,61.78,False,9886.086,0.09215174320380894,Low,2.855
South Africa,2012,Hepatitis,Infectious,12.09,11.57,7.05,61+,Male,720260,84.19,2.59,9.59,Medication,27112,Yes,67.07,1248,7.59,37787,0.72,28.53,False,106372.656,0.5830783227193781,High,6.09
France,2004,Malaria,Respiratory,6.33,10.74,8.23,0-18,Male,277960,53.54,2.1,6.36,Medication,12538,Yes,69.58,4523,2.34,35300,0.69,40.15,False,235629.7557,1.2999526141209918,Medium,4.23
South Korea,2010,HIV/AIDS,Bacterial,10.98,13.29,6.56,0-18,Female,804112,84.71,1.18,8.59,Surgery,27862,Yes,88.51,115,9.67,2863,0.7,50.37,False,8283.312,0.5973955013204626,High,4.885
Russia,2016,Tuberculosis,Respiratory,14.63,1.53,9.92,61+,Female,232134,92.16,1.63,6.34,Therapy,25721,No,51.98,1429,4.93,33590,0.47,66.42,False,207390.19840000002,0.678012439341125,High,3.985
South Africa,2020,Malaria,Infectious,11.46,2.94,8.31,36-60,Other,472233,71.85,1.31,4.51,Medication,33004,Yes,51.42,827,6.35,76596,0.81,49.94,False,78757.36020000001,0.7250676206264725,High,2.91
France,2012,Cholera,Bacterial,11.27,12.28,5.04,36-60,Male,489176,57.88,3.93,8.24,Therapy,21972,No,63.65,4504,2.29,88705,0.81,69.77,False,255830.80319999997,0.4471652914559489,High,6.085
Japan,2006,Cancer,Infectious,4.82,12.04,8.44,36-60,Other,768298,93.69,0.93,9.91,Surgery,37442,Yes,87.1,1620,8.44,98422,0.48,66.47,False,65902.896,1.7506741339970957,Medium,5.42
Indonesia,2017,Rabies,Genetic,7.87,7.53,4.16,61+,Other,699537,97.61,0.95,1.33,Therapy,9438,No,84.74,2402,5.41,19942,0.41,64.74,False,78639.55840000001,0.5285224240884259,Medium,1.1400000000000001
Turkey,2020,Tuberculosis,Parasitic,2.71,0.85,2.43,0-18,Male,750782,89.34,3.87,9.82,Surgery,31644,No,90.17,2857,7.51,49803,0.52,81.72,False,18814.202100000002,0.8963482109922539,Medium,6.845000000000001
Japan,2016,Asthma,Genetic,19.59,14.17,9.62,36-60,Female,616031,60.45,4.47,6.05,Vaccination,43248,Yes,73.64,1137,0.39,24216,0.83,25.25,False,214274.24459999998,0.491041804910418,High,5.26
Brazil,2003,Hepatitis,Bacterial,16.55,12.57,2.11,0-18,Female,606785,61.56,0.97,8.07,Therapy,7652,Yes,61.77,4081,3.24,86837,0.47,45.54,False,142510.5605,0.1274847441242221,Medium,4.5200000000000005
Nigeria,2000,Hypertension,Chronic,17.41,10.53,2.62,19-35,Male,428734,96.2,2.99,4.55,Surgery,6222,No,74.74,3881,3.87,27318,0.82,52.47,False,177028.7102,0.15047958187352822,Medium,3.77
Australia,2009,Ebola,Autoimmune,4.6,9.41,0.7,19-35,Male,14063,89.68,2.02,2.54,Surgery,35394,Yes,86.2,4432,9.25,39868,0.81,34.16,False,14271.039999999999,0.15214083894805477,Low,2.2800000000000002
Australia,2008,Influenza,Parasitic,5.08,3.55,8.09,19-35,Male,426708,95.13,2.71,1.84,Surgery,48184,Yes,60.53,2802,3.22,6164,0.66,30.69,False,115154.3544,1.5922062586105097,Medium,2.275
China,2015,Tuberculosis,Metabolic,5.61,14.34,2.79,36-60,Other,741576,86.39,1.99,0.93,Surgery,49168,Yes,57.16,3366,0.81,40424,0.82,63.96,False,52684.2954,0.49723756906077343,Medium,1.46
Germany,2008,Asthma,Bacterial,11.73,0.13,0.47,36-60,Other,687100,77.37,0.54,0.98,Therapy,25359,Yes,80.44,4177,7.64,93227,0.75,55.52,False,23028.218699999998,0.04006478561077487,Low,0.76
France,2019,Ebola,Genetic,14.23,6.07,0.29,19-35,Male,112967,69.69,2.71,8.57,Surgery,47630,Yes,98.12,4215,1.05,91045,0.59,87.3,False,17394.0405,0.020378047923547183,Low,5.640000000000001
Nigeria,2012,Tuberculosis,Metabolic,9.09,11.75,6.48,36-60,Male,858625,80.15,3.5,8.55,Surgery,40925,Yes,82.8,1658,6.14,38157,0.41,58.26,False,97661.5056,0.7127928720712794,Medium,6.025
Canada,2023,Measles,Parasitic,19.46,8.18,9.39,19-35,Female,616361,74.25,4.29,6.67,Therapy,21045,No,91.17,3392,1.13,10307,0.88,82.36,False,619818.1248000001,0.48250346847541237,High,5.48
Germany,2024,Influenza,Infectious,11.42,4.75,4.45,0-18,Other,85033,85.78,4.41,1.64,Vaccination,40021,Yes,63.38,519,4.36,58848,0.61,44.31,False,26375.061,0.38963313194991683,Medium,3.025
USA,2011,Cancer,Metabolic,12.27,3.94,1.83,19-35,Male,195987,76.01,4.21,2.84,Vaccination,31404,No,98.17,3515,1.75,49190,0.41,81.26,False,78926.1615,0.14913210007334368,Low,3.525
Japan,2016,Polio,Chronic,3.46,3.2,6.01,19-35,Female,351142,89.27,2.86,8.89,Surgery,49438,Yes,72.29,840,3.84,75417,0.9,52.71,False,17467.464,1.736492343253395,Medium,5.875
South Africa,2011,Tuberculosis,Chronic,2.0,5.43,7.6,0-18,Male,219570,77.8,3.79,8.06,Surgery,38361,Yes,51.86,2533,7.88,62102,0.71,82.06,False,38501.6,3.7981009495252374,Medium,5.925000000000001
Australia,2001,Asthma,Neurological,6.98,5.9,1.64,36-60,Female,882436,59.33,3.16,8.06,Vaccination,38979,Yes,54.75,4902,4.95,36571,0.6,85.31,False,56114.1744,0.2349233634149835,Low,5.61
Mexico,2004,Leprosy,Metabolic,15.3,4.86,8.02,61+,Male,372930,72.65,4.25,8.1,Vaccination,32914,Yes,63.77,3671,2.04,78209,0.89,22.28,False,450453.726,0.5241487484478138,High,6.175
Turkey,2006,Measles,Parasitic,18.81,8.59,3.46,0-18,Female,335627,76.76,1.89,8.33,Vaccination,8142,Yes,62.46,4174,1.12,52378,0.52,38.31,False,271654.7724,0.18393493168890543,Medium,5.11
UK,2022,Measles,Autoimmune,0.82,10.31,1.72,0-18,Other,936419,96.95,0.5,2.84,Therapy,43824,Yes,85.66,2846,3.41,73357,0.88,49.25,False,4013.9983999999995,2.095006090133983,Low,1.67
Argentina,2001,Hypertension,Metabolic,11.45,7.26,2.82,0-18,Male,349662,93.07,2.36,6.96,Therapy,32875,No,86.52,3643,8.23,96849,0.47,56.95,False,117628.82699999998,0.2462667015981137,Medium,4.66
Brazil,2014,Polio,Cardiovascular,14.43,8.61,8.46,19-35,Male,288771,96.69,3.57,4.46,Vaccination,17526,Yes,56.99,2197,1.32,28273,0.69,70.97,False,268204.9266,0.5862379599473357,High,4.015
Canada,2000,HIV/AIDS,Parasitic,13.31,4.39,7.84,36-60,Other,496021,83.2,1.49,9.55,Medication,18563,No,54.24,1897,7.57,61680,0.89,64.41,False,197952.70880000002,0.5889865524753963,High,5.5200000000000005
Germany,2017,Asthma,Parasitic,16.77,8.65,6.87,19-35,Male,875066,78.55,1.39,4.54,Medication,49994,Yes,79.13,4603,1.99,50698,0.52,70.82,False,530311.1697,0.4096356806391986,High,2.965
Mexico,2001,Zika,Chronic,2.61,0.92,0.61,36-60,Other,723150,82.59,3.88,8.05,Therapy,14509,No,91.92,3069,6.36,12345,0.57,52.71,False,4886.1548999999995,0.23362696284948298,Low,5.965
France,2007,Cholera,Bacterial,1.96,12.87,7.42,19-35,Male,57232,76.34,1.11,3.54,Surgery,30378,No,65.62,1451,9.66,43450,0.88,50.93,False,21102.1832,3.783783783783784,Medium,2.325
Indonesia,2004,Ebola,Parasitic,13.63,2.51,2.02,19-35,Other,607207,52.06,3.4,2.92,Medication,5239,No,52.14,4654,1.81,50520,0.76,50.58,False,128136.7204,0.14819162203800162,Medium,3.16
Nigeria,2000,Influenza,Bacterial,7.86,1.06,6.84,19-35,Other,505628,50.62,4.56,8.21,Vaccination,42079,No,69.47,2964,8.43,18568,0.85,27.43,False,159351.7536,0.8701183055590891,Medium,6.385
Brazil,2017,Hepatitis,Parasitic,10.77,6.89,5.74,36-60,Other,723442,51.89,4.91,5.15,Surgery,42402,No,82.57,4596,2.15,71185,0.82,42.79,False,284123.8008,0.532912450097484,High,5.03
Turkey,2017,Rabies,Cardiovascular,15.35,12.34,3.3,61+,Other,845656,88.82,2.93,1.51,Therapy,46784,Yes,50.63,1908,2.2,36260,0.48,83.87,False,96649.73999999999,0.21496970881375807,Medium,2.22
USA,2003,Polio,Metabolic,3.26,5.28,6.79,19-35,Female,633657,72.42,3.59,5.77,Vaccination,19816,Yes,83.35,1623,9.72,13469,0.78,87.36,False,35925.754199999996,2.0821833793314934,Medium,4.68
Turkey,2009,Dengue,Neurological,19.92,6.54,6.18,36-60,Male,46725,81.66,0.61,3.97,Medication,44887,No,92.79,528,0.68,46071,0.82,61.43,False,64999.7568,0.31022539029165197,High,2.29
China,2008,Cholera,Metabolic,4.07,7.28,4.01,36-60,Other,743962,71.74,4.6,9.14,Therapy,25602,Yes,97.41,1840,8.45,47206,0.48,42.03,False,30030.087999999996,0.9850159665929745,Medium,6.87
Argentina,2015,Asthma,Bacterial,2.09,11.99,0.92,0-18,Male,331800,90.66,0.68,1.72,Vaccination,34974,No,58.02,275,5.01,88171,0.61,75.83,False,528.77,0.43998087039693934,Low,1.2
Italy,2011,Tuberculosis,Chronic,9.1,1.86,6.77,36-60,Other,498296,70.99,1.71,1.89,Surgery,19718,No,93.59,3744,3.56,34624,0.55,42.95,False,230656.60799999998,0.7438742995275245,Medium,1.7999999999999998
Argentina,2007,HIV/AIDS,Autoimmune,5.84,1.77,1.57,0-18,Other,520996,61.48,2.53,0.86,Therapy,34089,Yes,51.36,394,1.15,4352,0.76,28.49,False,3612.5072000000005,0.26878959082348913,Low,1.6949999999999998
Nigeria,2019,Cancer,Autoimmune,15.2,9.53,1.31,19-35,Male,872552,89.39,2.95,4.44,Surgery,35223,Yes,62.1,4740,4.36,9763,0.43,78.97,False,94382.87999999999,0.08617854088546807,Low,3.6950000000000003
Germany,2009,Hypertension,Autoimmune,2.22,4.49,8.07,61+,Female,2536,75.89,1.03,7.93,Surgery,17799,No,58.15,4445,7.37,5296,0.83,33.78,False,79633.95300000001,3.6334984241332733,Medium,4.4799999999999995
Australia,2012,Polio,Bacterial,15.41,9.19,6.34,19-35,Other,192047,98.82,4.34,5.87,Surgery,16457,No,51.19,3036,8.32,67397,0.76,33.32,False,296615.3784,0.41139445850366624,High,5.105
USA,2007,Tuberculosis,Metabolic,11.05,10.06,2.24,0-18,Other,952140,96.37,4.62,8.51,Medication,16374,Yes,72.06,2054,8.07,73241,0.8,88.29,False,50840.60800000001,0.20269658854402317,Medium,6.5649999999999995
Japan,2022,Polio,Respiratory,16.99,13.54,0.6,36-60,Female,816153,57.36,3.25,3.43,Surgery,18863,Yes,76.21,827,9.6,62497,0.51,36.41,False,8430.438,0.03531281266552881,Low,3.34
Nigeria,2006,Hypertension,Genetic,1.61,6.09,4.67,19-35,Female,17966,71.46,3.26,5.13,Vaccination,39199,No,93.93,2021,9.76,58265,0.68,63.18,False,15195.2927,2.898820608317815,Medium,4.195
Nigeria,2015,Cholera,Autoimmune,7.48,11.57,8.93,36-60,Male,979254,66.44,1.74,7.99,Medication,7382,No,92.08,4400,5.94,10136,0.87,40.04,False,293904.16000000003,1.1936906830637615,Medium,4.865
India,2013,Polio,Neurological,17.76,5.46,6.74,61+,Other,148338,83.98,4.72,2.47,Medication,37449,No,75.38,4565,7.65,12972,0.74,85.88,False,546441.456,0.3794831372107426,High,3.5949999999999998
South Korea,2000,HIV/AIDS,Bacterial,4.98,3.28,6.22,19-35,Female,279990,57.92,4.87,8.93,Surgery,23684,No,65.84,2397,0.57,45756,0.67,33.66,False,74248.5132,1.248745231881148,Medium,6.9
Brazil,2005,Alzheimer's Disease,Chronic,17.15,1.22,8.25,36-60,Male,590314,76.5,4.37,4.12,Surgery,10789,Yes,83.9,2260,8.9,58654,0.62,75.74,False,319761.74999999994,0.4810215147804793,High,4.245
Indonesia,2003,Zika,Parasitic,6.59,13.44,9.0,0-18,Other,758837,64.34,3.54,4.94,Medication,23810,No,84.67,1343,2.49,29766,0.82,85.06,False,79653.33,1.3654984069185252,Medium,4.24
Australia,2020,Hepatitis,Parasitic,8.09,12.61,6.21,36-60,Female,781149,91.88,2.36,0.7,Therapy,42047,Yes,76.87,4010,8.45,43770,0.81,50.05,False,201457.989,0.7675194660734149,Medium,1.5299999999999998
Turkey,2014,Cholera,Chronic,2.92,4.92,3.22,19-35,Male,843934,83.26,4.96,4.33,Surgery,31119,No,76.46,3455,3.52,38673,0.85,29.77,False,32485.292,1.1023622047244095,Medium,4.645
Italy,2022,Alzheimer's Disease,Metabolic,4.9,0.63,9.08,36-60,Other,278236,98.3,4.71,9.22,Medication,37326,Yes,83.04,1879,7.24,66391,0.51,23.3,False,83600.46800000001,1.8526831258926748,Medium,6.965
India,2014,Measles,Neurological,6.81,14.68,7.89,19-35,Female,676247,59.96,3.34,0.79,Therapy,32376,Yes,91.93,2858,8.8,94470,0.62,27.7,False,153562.91219999996,1.1584202026134194,Medium,2.065
Brazil,2024,Zika,Cardiovascular,6.51,13.44,1.17,0-18,Male,965567,62.35,0.82,9.87,Surgery,36815,Yes,55.68,4015,5.9,91368,0.81,61.44,False,30581.050499999994,0.1796958992474274,Low,5.345
UK,2016,Zika,Bacterial,1.92,8.64,4.51,36-60,Female,568071,67.2,1.12,2.04,Medication,21338,No,78.93,3194,4.98,37224,0.78,49.92,False,27657.484799999995,2.3477355543987506,Medium,1.58
Brazil,2020,Malaria,Metabolic,7.43,3.17,9.25,19-35,Female,614152,72.96,1.75,0.95,Therapy,40034,No,64.48,1685,5.87,57083,0.85,23.85,False,115805.83749999998,1.2447853586327546,Medium,1.35
South Africa,2004,Cholera,Genetic,8.99,12.51,4.76,36-60,Male,172333,87.24,4.99,8.69,Vaccination,34867,No,58.93,299,8.92,50530,0.81,82.1,False,12794.9276,0.529418307196085,Medium,6.84
Indonesia,2018,Rabies,Genetic,7.74,8.11,5.78,0-18,Other,550253,91.46,1.31,8.36,Vaccination,28165,No,85.08,1547,2.65,66362,0.65,80.4,False,69208.44840000001,0.7466735563880635,Medium,4.835
Indonesia,2014,HIV/AIDS,Cardiovascular,17.06,7.34,4.27,19-35,Other,246707,59.41,2.98,9.36,Therapy,2686,No,88.9,1120,9.08,95456,0.45,82.71,False,81587.74399999998,0.2502784127542348,Medium,6.17
USA,2004,Dengue,Bacterial,5.71,13.98,4.97,19-35,Male,159625,76.38,1.93,4.43,Medication,24019,No,86.15,3931,9.53,2603,0.45,56.65,False,111556.6697,0.8702503939765365,Medium,3.1799999999999997
Mexico,2002,Tuberculosis,Viral,15.15,1.79,1.23,0-18,Other,957258,85.1,1.37,0.93,Surgery,36950,No,76.12,2922,0.45,30329,0.6,36.15,False,54450.009,0.08118276021384727,Low,1.1500000000000001
Turkey,2018,Zika,Respiratory,12.15,2.23,8.47,61+,Other,322192,75.11,2.51,0.77,Surgery,30314,No,86.51,3179,6.19,18571,0.53,23.73,False,327152.4795,0.6970619702082134,High,1.64
Japan,2007,Asthma,Infectious,5.84,8.42,8.46,0-18,Female,497604,86.33,4.64,1.54,Medication,12354,No,88.67,4478,8.44,56891,0.73,37.72,False,221241.85920000004,1.4483821263482282,Medium,3.09
UK,2016,Leprosy,Metabolic,14.57,1.27,2.01,19-35,Other,123560,66.05,3.37,8.79,Therapy,1862,Yes,68.64,3823,3.47,21684,0.71,64.12,False,111959.23109999999,0.1379452336833436,Medium,6.08
Australia,2016,HIV/AIDS,Parasitic,4.55,7.8,3.84,0-18,Male,293515,95.21,1.44,1.61,Medication,12872,No,68.79,2463,9.88,65620,0.82,66.15,False,43033.53599999999,0.8437705998681608,Medium,1.525
China,2024,Polio,Autoimmune,2.38,6.84,5.25,19-35,Other,466681,82.04,1.47,8.69,Vaccination,6615,No,62.75,59,0.71,93827,0.83,21.07,False,737.2049999999999,2.2049559008819823,Medium,5.08
India,2001,Diabetes,Autoimmune,11.14,3.96,4.85,61+,Other,60169,84.79,4.18,0.94,Surgery,44387,No,76.12,4411,7.11,72339,0.71,85.21,False,238321.919,0.4353289650839242,Medium,2.5599999999999996
Brazil,2001,Influenza,Cardiovascular,14.47,6.44,8.26,61+,Female,517143,71.55,1.8,7.06,Vaccination,48775,No,79.99,1203,4.24,49584,0.66,68.2,False,143785.2066,0.5707967659456844,High,4.43
Saudi Arabia,2014,Measles,Metabolic,13.77,5.39,0.7,19-35,Other,61785,92.01,4.44,1.03,Surgery,46775,Yes,86.97,1424,8.9,69393,0.54,80.44,False,13725.936,0.050831457410500325,Low,2.7350000000000003
Nigeria,2000,HIV/AIDS,Neurological,18.05,14.46,4.57,61+,Male,542923,94.68,4.42,6.15,Medication,9195,Yes,84.03,3508,8.33,22993,0.81,52.85,False,289369.658,0.25317156944213615,Medium,5.285
South Africa,2009,Ebola,Chronic,10.6,6.5,2.92,36-60,Female,938028,92.42,3.64,1.26,Surgery,10855,No,91.57,3049,8.1,31822,0.51,84.48,False,94372.648,0.27544571266861617,Medium,2.45
Japan,2022,Parkinson's Disease,Infectious,8.92,14.88,0.89,0-18,Female,457946,87.84,0.87,4.78,Vaccination,29267,Yes,79.92,1866,5.31,69478,0.85,47.91,False,14813.800799999999,0.0997646003811232,Low,2.825
Russia,2000,Malaria,Parasitic,13.97,3.09,4.91,0-18,Male,364946,76.6,4.05,6.99,Surgery,28258,No,70.51,1705,0.36,78503,0.59,62.12,False,116950.55350000001,0.3514422732803665,Medium,5.52
Brazil,2016,Rabies,Neurological,0.9,3.83,6.04,36-60,Male,705193,75.79,3.88,3.42,Therapy,21042,No,58.14,3815,0.83,88702,0.74,44.26,False,20738.34,6.703662597114318,Medium,3.65
France,2004,Hepatitis,Neurological,18.74,12.43,8.59,36-60,Other,69627,76.93,4.39,8.58,Therapy,20707,Yes,82.23,4809,7.28,21270,0.7,71.08,False,774136.4694,0.45835334293794355,High,6.484999999999999
